Year,Month,Day,Hour,Minute,Second,Latitude,Londitude,Height(m),sigma ,Flash No.
2013,8,1,0,0,43.830116,35.33529,135.83171,6803,2.75E-03,1
2013,8,1,0,0,43.830238,35.34389,135.83305,7122,1.33E-03,1
2013,8,1,0,0,43.830538,35.38562,135.8418,9834,2.61E-03,1
2013,8,1,0,0,43.8311746,35.32135,135.82658,8480,8.48E-02,1
2013,8,1,0,0,43.8312347,35.33725,135.82931,8550,4.12E-01,1
2013,8,1,0,0,43.8317702,35.34924,135.82869,9304,1.10E-02,1
2013,8,1,0,0,43.8319758,35.35579,135.83361,8109,1.08E-03,1
2013,8,1,0,0,43.8321405,35.35036,135.83123,9358,5.58E-03,1
2013,8,1,0,0,43.8326899,35.35356,135.83958,9115,1.09E-02,1
2013,8,1,0,0,43.8334249,35.35103,135.83002,7855,5.78E-04,1
2013,8,1,0,0,43.8354952,35.33831,135.83661,8745,1.23E-03,1
2013,8,1,0,0,43.839452,35.35497,135.84741,8577,3.57E-02,1
2013,8,1,0,0,43.8401961,35.35713,135.85321,9705,7.91E-04,1
2013,8,1,0,0,43.8416279,35.32867,135.83371,8623,2.19E-03,1
2013,8,1,0,0,43.8432403,35.35425,135.85126,9695,8.82E-03,1
2013,8,1,0,0,43.8442878,35.35278,135.85113,1628,5.79E-03,1
2013,8,1,0,0,43.8454032,35.36116,135.81416,7390,1.90E-02,1
2013,8,1,0,0,43.8456681,35.35077,135.85611,11351,6.49E-02,1
2013,8,1,0,0,43.8459012,35.35156,135.80851,9432,6.53E-03,1
2013,8,1,0,0,43.8465748,35.35807,135.86194,11840,1.63E-02,1
2013,8,1,0,0,43.8466781,35.34824,135.80467,8765,8.11E-03,1
2013,8,1,0,0,43.8467811,35.35861,135.80785,6538,6.03E-04,1
2013,8,1,0,0,43.8472084,35.3761,135.81336,13147,4.53E-02,1
2013,8,1,0,0,43.847252,35.36417,135.80738,7520,4.29E-02,1
2013,8,1,0,0,43.8476675,35.35789,135.80382,8507,7.14E-02,1
2013,8,1,0,0,43.84831,35.35961,135.80276,7494,2.38E-02,1
2013,8,1,0,0,43.8488947,35.37052,135.80755,7523,4.09E-02,1
2013,8,1,0,0,43.849241,35.3665,135.80514,7714,9.59E-04,1
2013,8,1,0,0,43.8576457,35.38274,135.81307,7494,1.02E-01,1
2013,8,1,0,0,43.8591325,35.39435,135.80672,8229,2.04E-01,1
2013,8,1,0,0,43.8597194,35.37417,135.7743,7604,1.44E-02,1
2013,8,1,0,0,43.8868288,35.35954,135.85416,10014,1.47E-02,1
2013,8,1,0,0,43.8952655,35.36161,135.8552,7762,1.00E-01,1
2013,8,1,0,0,43.8959513,35.36522,135.8569,8416,1.70E-02,1
2013,8,1,0,0,43.8962083,35.36663,135.85973,6787,2.24E-03,1
2013,8,1,0,0,43.8967057,35.3706,135.8597,8456,9.22E-03,1
2013,8,1,0,0,43.8996166,35.35718,135.84554,7439,4.08E-02,1
2013,8,1,0,0,43.900516,35.37145,135.8482,7446,2.42E-03,1
2013,8,1,0,0,43.90374,35.3793,135.84742,7123,1.73E-03,1
2013,8,1,0,0,43.9041673,35.38507,135.85243,12911,1.72E-01,1
2013,8,1,0,0,43.9059888,35.36283,135.86678,9544,1.19E-03,1
2013,8,1,0,0,43.9245242,35.39771,135.852,6898,2.58E-02,1
2013,8,1,0,0,43.9281145,35.3514,135.80958,7091,1.52E+00,1
2013,8,1,0,6,15.5073888,34.62553,134.77515,7152,2.93E+00,2
2013,8,1,0,6,15.5074423,34.57777,134.80527,11236,5.10E+00,2
2013,8,1,0,10,24.9550885,36.09296,135.30837,13752,3.10E-03,3
2013,8,1,0,10,24.9551924,36.0546,135.31465,10066,3.91E-02,3
2013,8,1,0,10,24.955477,36.06824,135.3182,3938,1.55E-01,3
2013,8,1,0,10,24.9557112,36.09512,135.3075,13606,5.84E-01,3
2013,8,1,0,10,24.9560644,36.06871,135.31247,8100,8.46E-03,3
2013,8,1,0,10,24.9774526,36.1408,135.30221,15132,1.77E-01,3
2013,8,1,0,10,24.9779814,36.10174,135.30141,12909,1.06E-02,3
2013,8,1,0,10,25.0969464,36.1027,135.31689,11696,3.18E-01,3
2013,8,1,0,10,25.1026965,36.10984,135.30666,14228,1.79E-01,3
2013,8,1,0,10,25.1340616,36.14924,135.30075,4422,4.16E+00,3
2013,8,1,0,26,8.424201,36.02812,135.39033,13088,1.12E-02,4
2013,8,1,0,26,8.4243174,35.92369,135.40735,14608,4.90E-03,4
2013,8,1,0,26,8.4243672,36.03269,135.3893,14127,8.11E-02,4
2013,8,1,0,26,8.4244809,36.04097,135.40398,9446,2.16E+00,4
2013,8,1,0,26,8.4254726,36.02466,135.38659,13416,1.56E-02,4
2013,8,1,0,26,8.4258138,36.09823,135.40584,10749,4.18E-02,4
2013,8,1,0,26,8.4262521,35.98612,135.39643,3359,1.17E-01,4
2013,8,1,0,26,8.4279747,35.97734,135.39424,5331,5.07E+00,4
2013,8,1,0,26,8.4339308,36.03467,135.40324,10509,5.81E-02,4
2013,8,1,0,26,8.4346126,36.16965,135.40526,15121,3.34E-02,4
2013,8,1,0,27,4.6101602,35.77689,134.98801,6958,1.79E-02,5
2013,8,1,0,27,4.6106247,35.77689,134.98801,6958,1.79E-02,5
2013,8,1,0,27,4.6114059,35.79803,134.95775,9648,2.52E-02,5
2013,8,1,0,27,4.6114942,35.75598,135.00718,15723,4.49E-02,5
2013,8,1,0,27,4.6115419,35.86003,134.94717,11884,6.03E-03,5
2013,8,1,0,27,4.6125479,35.84842,134.95173,15575,4.30E-02,5
2013,8,1,0,27,4.6126951,35.81838,134.97987,13583,2.60E-02,5
2013,8,1,0,27,4.6127242,35.84038,134.9529,14549,3.68E-01,5
2013,8,1,0,27,4.6129544,35.78322,134.99153,8970,1.95E-02,5
2013,8,1,0,27,4.616554,35.79057,134.98035,9992,4.97E-03,5
2013,8,1,0,27,4.6165904,35.79398,134.97743,9025,5.09E-02,5
2013,8,1,0,27,4.6166675,35.78629,134.99178,7086,3.41E-02,5
